epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.11187,1.3771,3.89369,1.36747,0.01611,0.65245,0.31355,0.2009,1.26486,3.50066,1.28912,0.000225,0.000225,0.000225
2,11.9649,1.1672,3.25106,1.17962,0.08719,0.64706,0.47894,0.36418,1.1395,3.17117,1.25097,0.000457921,0.000457921,0.000457921
3,16.3916,1.13,2.57935,1.14044,0.69043,0.26073,0.47419,0.27906,1.60666,2.71483,1.75099,0.00068614,0.00068614,0.00068614
4,20.9164,1.13497,2.29042,1.21819,0.44909,0.4131,0.48075,0.27904,1.38831,2.47319,1.4239,0.000909656,0.000909656,0.000909656
5,25.2777,1.09942,2.14185,1.16264,0.23022,0.38129,0.46936,0.34516,1.47836,2.42024,1.41822,0.00112847,0.00112847,0.00112847
6,29.5428,1.02243,2.00211,1.14405,0.76638,0.4706,0.61092,0.34602,1.31745,2.12625,1.40386,0.00118812,0.00118812,0.00118812
7,33.972,1.07747,1.87554,1.14489,0.76504,0.47267,0.63193,0.3945,1.18701,1.84222,1.25373,0.00117575,0.00117575,0.00117575
8,38.3922,1.05211,1.96411,1.12787,0.78803,0.56856,0.70928,0.44535,1.02794,2.16557,1.25472,0.00116337,0.00116337,0.00116337
9,42.7203,1.07277,1.93632,1.16881,0.48978,0.50388,0.5654,0.38776,1.14621,2.02596,1.22905,0.001151,0.001151,0.001151
10,47.1156,0.9917,1.68258,1.12311,0.37324,0.72823,0.55539,0.36318,1.21747,1.89501,1.28231,0.00113863,0.00113863,0.00113863
11,51.4574,0.96312,1.60768,1.12261,0.30097,0.76961,0.5589,0.40764,1.12675,1.72105,1.32538,0.00112625,0.00112625,0.00112625
12,55.9342,0.95779,1.62592,1.11196,0.73063,0.63733,0.67552,0.47539,1.0034,1.74599,1.24435,0.00111388,0.00111388,0.00111388
13,60.4246,0.97534,1.72476,1.1513,0.61759,0.63769,0.74821,0.59606,0.96612,1.30531,1.1898,0.0011015,0.0011015,0.0011015
14,64.9077,0.89662,1.49998,1.07739,0.49022,0.96225,0.67875,0.53309,1.04118,1.71904,1.23062,0.00108913,0.00108913,0.00108913
15,69.2624,0.92403,1.51943,1.06559,0.47044,0.93284,0.81513,0.57665,1.07616,1.54891,1.27003,0.00107675,0.00107675,0.00107675
16,73.8535,0.84223,1.54652,1.06495,0.48372,0.81363,0.85111,0.59103,1.06233,1.55126,1.26264,0.00106437,0.00106437,0.00106437
17,78.2076,0.84849,1.50352,1.04706,0.78582,0.58023,0.61081,0.45508,1.0844,1.58216,1.27318,0.001052,0.001052,0.001052
18,82.5822,0.84038,1.33034,1.03674,0.77418,0.63674,0.71178,0.51943,1.0484,1.93045,1.22485,0.00103962,0.00103962,0.00103962
19,86.9788,0.87762,1.28143,1.08326,0.77855,0.64658,0.66369,0.49113,1.03931,2.71976,1.26415,0.00102725,0.00102725,0.00102725
20,91.3104,0.85259,1.53056,1.05014,0.81017,0.5367,0.58564,0.45502,1.083,2.12043,1.37336,0.00101488,0.00101488,0.00101488
21,95.7972,0.88218,1.34786,1.0637,0.53264,0.53578,0.58149,0.46011,0.99301,1.52856,1.2375,0.0010025,0.0010025,0.0010025
22,100.309,0.8584,1.37447,1.07064,0.90035,0.55231,0.69649,0.5272,0.9903,1.55474,1.20755,0.000990125,0.000990125,0.000990125
23,104.838,0.85707,1.89545,1.0491,0.80854,0.64153,0.69713,0.5155,1.00421,1.84824,1.22575,0.00097775,0.00097775,0.00097775
24,109.292,0.90982,1.38736,1.10579,0.74957,0.66112,0.64785,0.47279,1.12704,2.29642,1.30008,0.000965375,0.000965375,0.000965375
25,113.661,0.77905,1.3418,1.01549,0.44108,0.97794,0.64162,0.49308,1.11863,1.99932,1.3139,0.000953,0.000953,0.000953
26,118.054,0.82103,1.44763,1.04368,0.69031,0.88281,0.78703,0.64076,1.03842,1.66047,1.26631,0.000940625,0.000940625,0.000940625
27,122.493,0.86687,1.3114,1.07931,0.7375,0.84853,0.82823,0.66178,0.97924,1.4102,1.22599,0.00092825,0.00092825,0.00092825
28,127.059,0.76766,1.21058,1.0116,0.68572,0.78416,0.79096,0.62771,0.98829,1.493,1.22745,0.000915875,0.000915875,0.000915875
29,131.54,0.77762,1.20706,1.03599,0.70956,0.78088,0.80141,0.6508,0.95183,1.29254,1.19339,0.0009035,0.0009035,0.0009035
30,136.199,0.77356,1.18278,1.02408,0.81836,0.76225,0.88914,0.67191,0.97703,1.1774,1.22123,0.000891125,0.000891125,0.000891125
