epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1495,1.38122,3.66,1.37764,0.01042,0.65518,0.14551,0.08117,1.11811,3.54308,1.23315,0.0002625,0.0002625,0.0002625
2,21.6024,1.11254,2.56642,1.1585,0.84702,0.14167,0.3616,0.22068,1.09022,2.86422,1.21589,0.000532179,0.000532179,0.000532179
3,30.9626,1.14235,2.11441,1.18546,0.61483,0.22232,0.42057,0.25625,1.06637,2.69875,1.2156,0.000796412,0.000796412,0.000796412
4,40.3844,0.97172,1.89463,1.14392,0.1788,0.47197,0.22711,0.15769,1.04368,2.79749,1.22955,0.0010552,0.0010552,0.0010552
5,49.6992,1.06242,1.98597,1.16971,0.33038,0.40238,0.36304,0.26171,1.05239,2.05256,1.23278,0.0012005,0.0012005,0.0012005
6,59.0829,0.97412,1.80698,1.122,0.41131,0.68222,0.51853,0.37175,0.93267,1.83212,1.2382,0.00118812,0.00118812,0.00118812
7,68.513,1.00542,1.7494,1.1265,0.4642,0.60801,0.44034,0.34089,0.89371,2.36335,1.20991,0.00117575,0.00117575,0.00117575
8,77.8293,1.12427,1.78736,1.25458,0.41581,0.51371,0.41942,0.31665,0.89338,2.03291,1.24736,0.00116337,0.00116337,0.00116337
9,87.2379,1.02548,1.72296,1.15861,0.49976,0.56369,0.48206,0.33475,0.94225,2.11,1.23073,0.001151,0.001151,0.001151
10,96.5979,0.98713,1.5941,1.10926,0.4765,0.63066,0.44587,0.33135,0.94462,2.17425,1.18062,0.00113863,0.00113863,0.00113863
11,105.861,0.97561,1.49747,1.12613,0.50638,0.62885,0.48663,0.358,0.85325,1.80119,1.14029,0.00112625,0.00112625,0.00112625
12,115.04,0.93774,1.51883,1.1176,0.47275,0.71175,0.53017,0.369,0.88676,1.88794,1.16127,0.00111388,0.00111388,0.00111388
13,124.291,0.93635,1.53953,1.10739,0.44768,0.73916,0.51566,0.37733,0.88287,1.62818,1.13885,0.0011015,0.0011015,0.0011015
14,133.443,0.89284,1.40988,1.06524,0.51349,0.71377,0.6555,0.49704,0.79378,1.94268,1.1074,0.00108913,0.00108913,0.00108913
15,142.705,0.96482,1.62113,1.1384,0.61082,0.66562,0.66208,0.47345,0.81571,2.24571,1.1034,0.00107675,0.00107675,0.00107675
